max_features,k,train,test,accuracy
500,250,1000,1000,0.658
500,250,2000,1000,0.615
500,250,3000,1000,0.618
500,250,4000,1000,0.621
500,500,1000,1000,0.604
500,500,2000,1000,0.614
500,500,3000,1000,0.611
500,500,4000,1000,0.616
500,750,1000,1000,0.552
500,750,2000,1000,0.605
500,750,3000,1000,0.621
500,750,4000,1000,0.614
500,1000,1000,1000,0.488
500,1000,2000,1000,0.641
500,1000,3000,1000,0.648
500,1000,4000,1000,0.627
500,1250,2000,1000,0.604
500,1250,3000,1000,0.666
500,1250,4000,1000,0.633
500,1500,2000,1000,0.597
500,1500,3000,1000,0.661
500,1500,4000,1000,0.627
500,1750,2000,1000,0.581
500,1750,3000,1000,0.65
500,1750,4000,1000,0.683
500,2000,2000,1000,0.488
500,2000,3000,1000,0.596
500,2000,4000,1000,0.679
1000,250,1000,1000,0.634
1000,250,2000,1000,0.611
1000,250,3000,1000,0.601
1000,250,4000,1000,0.617
1000,500,1000,1000,0.6
1000,500,2000,1000,0.607
1000,500,3000,1000,0.605
1000,500,4000,1000,0.607
1000,750,1000,1000,0.554
1000,750,2000,1000,0.609
1000,750,3000,1000,0.616
1000,750,4000,1000,0.601
1000,1000,1000,1000,0.488
1000,1000,2000,1000,0.643
1000,1000,3000,1000,0.642
1000,1000,4000,1000,0.619
1000,1250,2000,1000,0.593
1000,1250,3000,1000,0.662
1000,1250,4000,1000,0.625
1000,1500,2000,1000,0.61
1000,1500,3000,1000,0.656
1000,1500,4000,1000,0.636
1000,1750,2000,1000,0.588
1000,1750,3000,1000,0.643
1000,1750,4000,1000,0.673
1000,2000,2000,1000,0.488
1000,2000,3000,1000,0.596
1000,2000,4000,1000,0.698
1500,250,1000,1000,0.631
1500,250,2000,1000,0.613
1500,250,3000,1000,0.602
1500,250,4000,1000,0.613
1500,500,1000,1000,0.619
1500,500,2000,1000,0.615
1500,500,3000,1000,0.604
1500,500,4000,1000,0.603
1500,750,1000,1000,0.546
1500,750,2000,1000,0.619
1500,750,3000,1000,0.633
1500,750,4000,1000,0.608
1500,1000,1000,1000,0.488
1500,1000,2000,1000,0.637
1500,1000,3000,1000,0.643
1500,1000,4000,1000,0.624
1500,1250,2000,1000,0.595
1500,1250,3000,1000,0.672
1500,1250,4000,1000,0.629
1500,1500,2000,1000,0.591
1500,1500,3000,1000,0.658
1500,1500,4000,1000,0.635
1500,1750,2000,1000,0.579
1500,1750,3000,1000,0.645
1500,1750,4000,1000,0.68
1500,2000,2000,1000,0.488
1500,2000,3000,1000,0.596
1500,2000,4000,1000,0.69
